"Fahrzeug";"Beleg";"Zeitpunkt";"Buchungsart";"Zahlungsmittel";"Belegtext";"Gesamt";"10%";"20%";"Fahrtkosten";"Trinkgeld";"Umsatz";"Durchläufer";"Taxameterumsatz";"Status";"Bemerkung"
"484 ";" 0809";"19.05.2025 01:23";"Pinpad-Zahlung";"Pinpad MASTERCARD 767668-076253";"Personenfahrt";"11,00";"1,00";;"10,00";;"11,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0810";"19.05.2025 02:02";"PaymentService-Zahlung";"APP-PAYMENT 4010V1877739";"Personenfahrt";"13,86";"1,15";;"11,45";"1,26";"13,86";;;"SIGNIERT Exportiert ";""
"484 ";" 0811";"19.05.2025 03:25";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0812";"19.05.2025 04:40";"Barbeleg";"  ";"Personenfahrt";"10,60";"0,96";;"9,64";;"10,60";;;"SIGNIERT Gespeichert ";""
"484 ";" 0813";"19.05.2025 05:13";"PaymentService-Zahlung";"APP-PAYMENT 4010V1877621";"Personenfahrt";"16,20";"1,47";;"14,73";;"16,20";;;"SIGNIERT Exportiert ";""
"484 ";" 0814";"19.05.2025 05:25";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0815";"19.05.2025 20:07";"Barbeleg";"  ";"Personenfahrt";"11,00";"1,00";;"10,00";;"11,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0816";"19.05.2025 20:36";"Pinpad-Zahlung";"Pinpad MASTERCARD 933257-802244";"Personenfahrt";"30,00";"2,73";;"27,27";;"30,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0817";"19.05.2025 23:27";"Barbeleg";"  ";"Personenfahrt";"45,00";"3,82";;"38,18";"3,00";"45,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0818";"20.05.2025 01:31";"Barbeleg";"  ";"Personenfahrt";"9,70";"0,88";;"8,82";;"9,70";;;"SIGNIERT Gespeichert ";""
"484 ";" 0819";"20.05.2025 02:06";"Barbeleg";"  ";"Personenfahrt";"10,30";"0,94";;"9,36";;"10,30";;;"SIGNIERT Gespeichert ";""
"484 ";" 0820";"20.05.2025 03:15";"Barbeleg";"  ";"Personenfahrt";"12,10";"1,10";;"11,00";;"12,10";;;"SIGNIERT Gespeichert ";""
"484 ";" 0821";"20.05.2025 03:37";"Pinpad-Zahlung";"Pinpad MASTERCARD 331942-N59SFP";"Personenfahrt";"21,00";"1,57";;"15,73";"3,70";"21,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0822";"20.05.2025 04:19";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0823";"20.05.2025 05:39";"Barbeleg";"  ";"Personenfahrt";"26,00";"2,36";;"23,64";;"26,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0824";"20.05.2025 18:51";"Barbeleg";"  ";"Personenfahrt";"10,40";"0,95";;"9,45";;"10,40";;;"SIGNIERT Gespeichert ";""
"484 ";" 0825";"20.05.2025 19:15";"Barbeleg";"  ";"Personenfahrt";"10,80";"0,98";;"9,82";;"10,80";;;"SIGNIERT Gespeichert ";""
"484 ";" 0826";"20.05.2025 22:30";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0827";"20.05.2025 23:59";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0828";"21.05.2025 00:49";"Barbeleg";"  ";"Personenfahrt";"16,30";"1,48";;"14,82";;"16,30";;;"SIGNIERT Gespeichert ";""
"484 ";" 0829";"21.05.2025 01:12";"Pinpad-Zahlung";"Pinpad MASTERCARD 765340-661218";"Personenfahrt";"28,00";"2,26";;"22,64";"3,10";"28,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0830";"21.05.2025 02:56";"Barbeleg";"  ";"Personenfahrt";"20,70";"1,88";;"18,82";;"20,70";;;"SIGNIERT Gespeichert ";""
"484 ";" 0831";"21.05.2025 04:01";"Barbeleg";"  ";"Personenfahrt";"11,70";"1,06";;"10,64";;"11,70";;;"SIGNIERT Gespeichert ";""
"484 ";" 0832";"21.05.2025 04:49";"Barbeleg";"  ";"Personenfahrt";"42,00";"3,82";;"38,18";;"42,00";;;"SIGNIERT Gespeichert ";""
"484 ";" 0833";"21.05.2025 05:32";"Pinpad-Zahlung";"Pinpad MASTERCARD 229535-198158";"Personenfahrt";"55,00";"5,00";;"50,00";;"55,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0834";"21.05.2025 22:54";"Pinpad-Zahlung";"Pinpad MASTERCARD 521003-564505";"Personenfahrt";"30,00";"2,73";;"27,27";;"30,00";;;"SIGNIERT Exportiert ";""
"484 ";" 0835";"21.05.2025 23:39";"Barbeleg";"  ";"Personenfahrt";"16,80";"1,53";;"15,27";;"16,80";;;"SIGNIERT Gespeichert ";""
"484 ";" 0836";"22.05.2025 01:03";"Barbeleg";"  ";"Personenfahrt";"17,40";"1,58";;"15,82";;"17,40";;;"SIGNIERT Gespeichert ";""
